iter	Passed	Remaining
0	141	141796
1	142	71142
2	143	47575
3	143	35852
4	144	28807
5	145	24104
6	146	20732
7	146	18195
8	147	16218
9	147	14634
10	148	13345
11	149	12275
12	149	11359
13	150	10576
14	150	9905
15	151	9306
16	151	8773
17	152	8297
18	152	7872
19	152	7489
20	153	7142
21	153	6828
22	153	6539
23	154	6275
24	154	6033
25	155	5810
26	155	5601
27	155	5408
28	156	5227
29	156	5061
30	156	4905
31	157	4758
32	157	4620
33	158	4490
34	158	4367
35	158	4251
36	159	4141
37	159	4038
38	159	3940
39	160	3846
40	160	3757
41	161	3672
42	161	3591
43	161	3514
44	162	3440
45	162	3369
46	162	3301
47	163	3236
48	163	3174
49	163	3113
50	164	3056
51	164	3001
52	164	2947
53	165	2895
54	165	2846
55	166	2798
56	166	2752
57	166	2708
58	167	2665
59	167	2624
60	167	2584
61	168	2545
62	168	2508
63	169	2473
64	169	2439
65	170	2406
66	170	2373
67	170	2339
68	171	2308
69	171	2278
70	171	2249
71	172	2220
72	172	2193
73	173	2166
74	173	2139
75	173	2113
76	174	2088
77	174	2063
78	174	2039
79	175	2015
80	175	1992
81	176	1970
82	176	1949
83	176	1929
84	177	1908
85	177	1888
86	177	1867
87	178	1848
88	178	1829
89	179	1811
90	179	1793
91	179	1775
92	180	1758
93	180	1740
94	180	1724
95	181	1707
96	181	1691
97	182	1675
98	182	1660
99	182	1645
100	183	1630
101	183	1614
102	183	1600
103	184	1587
104	184	1573
105	184	1559
106	185	1546
107	185	1533
108	186	1521
109	186	1510
110	187	1497
111	187	1485
112	187	1474
113	188	1462
114	188	1451
115	188	1439
116	189	1428
117	189	1417
118	189	1405
119	190	1394
120	190	1384
121	190	1374
122	191	1362
123	191	1352
124	191	1342
125	192	1332
126	192	1323
127	192	1312
128	193	1303
129	193	1294
130	193	1285
131	194	1277
132	194	1268
133	194	1260
134	195	1252
135	195	1244
136	196	1236
137	196	1228
138	197	1220
139	197	1213
140	197	1205
141	198	1197
142	198	1189
143	198	1182
144	199	1175
145	199	1167
146	199	1160
147	200	1153
148	200	1146
149	201	1139
150	201	1132
151	201	1126
152	202	1119
153	202	1113
154	203	1106
155	203	1100
156	203	1093
157	204	1087
158	204	1081
159	204	1075
160	205	1069
161	205	1063
162	205	1057
163	206	1051
164	206	1045
165	207	1040
166	207	1034
167	207	1028
168	208	1023
169	208	1017
170	208	1012
171	209	1007
172	209	1001
173	209	996
174	210	991
175	210	986
176	210	980
177	211	975
178	211	970
179	212	966
180	212	960
181	212	955
182	212	950
183	213	946
184	213	941
185	214	936
186	214	932
187	214	927
188	215	923
189	215	919
190	215	914
191	216	910
192	216	905
193	216	901
194	217	897
195	217	892
196	218	888
197	218	884
198	218	880
199	219	876
200	219	872
201	219	868
202	220	864
203	220	860
204	220	856
205	221	852
206	221	848
207	221	844
208	222	841
209	222	837
210	223	833
211	223	830
212	223	826
213	224	823
214	224	819
215	224	816
216	225	812
217	225	809
218	225	805
219	226	802
220	226	798
221	226	795
222	227	792
223	227	788
224	228	785
225	228	782
226	228	778
227	229	775
228	229	772
229	229	769
230	230	766
231	230	763
232	230	760
233	231	757
234	231	754
235	232	751
236	232	748
237	232	745
238	233	742
239	233	739
240	233	736
241	234	733
242	234	730
243	234	727
244	235	725
245	235	722
246	236	719
247	236	716
248	236	714
249	237	711
250	237	708
251	237	706
252	238	703
253	238	700
254	238	698
255	239	695
256	239	692
257	240	690
258	240	687
259	240	685
260	241	683
261	241	681
262	242	678
263	242	676
264	243	674
265	243	672
266	243	669
267	244	667
268	244	665
269	245	662
270	245	660
271	245	657
272	246	655
273	246	653
274	246	650
275	247	648
276	247	646
277	247	643
278	248	641
279	248	639
280	249	637
281	249	635
282	249	633
283	250	630
284	250	629
285	251	627
286	251	624
287	251	622
288	252	620
289	252	618
290	253	616
291	253	614
292	253	612
293	254	610
294	254	608
295	254	606
296	255	604
297	255	602
298	256	600
299	256	598
300	256	596
301	257	594
302	257	592
303	257	590
304	258	588
305	258	586
306	259	584
307	259	583
308	260	581
309	260	579
310	260	577
311	261	576
312	261	574
313	262	572
314	262	570
315	262	568
316	263	566
317	263	564
318	263	563
319	264	561
320	264	559
321	264	557
322	265	555
323	265	553
324	265	552
325	266	550
326	266	548
327	266	547
328	267	545
329	267	543
330	268	542
331	268	540
332	269	539
333	269	537
334	270	536
335	270	534
336	270	532
337	271	531
338	271	529
339	271	527
340	272	526
341	272	524
342	273	522
343	273	521
344	273	519
345	274	517
346	274	516
347	274	514
348	275	513
349	275	511
350	275	509
351	276	508
352	276	506
353	276	505
354	277	503
355	277	502
356	278	500
357	278	499
358	278	497
359	279	496
360	279	494
361	279	493
362	280	491
363	280	490
364	281	488
365	281	487
366	281	485
367	282	484
368	282	483
369	282	481
370	283	480
371	283	478
372	284	477
373	284	476
374	284	474
375	285	473
376	285	472
377	286	470
378	286	469
379	287	468
380	287	467
381	288	465
382	288	464
383	288	463
384	289	461
385	289	460
386	289	459
387	290	457
388	290	456
389	291	455
390	291	453
391	291	452
392	292	451
393	292	449
394	292	448
395	293	447
396	293	445
397	293	444
398	294	443
399	294	441
400	295	440
401	295	439
402	295	438
403	296	436
404	296	435
405	296	434
406	297	433
407	297	432
408	298	430
409	298	429
410	298	428
411	299	427
412	299	426
413	300	424
414	300	423
415	300	422
416	301	421
417	301	419
418	301	418
419	302	417
420	302	416
421	303	415
422	303	413
423	303	412
424	304	411
425	304	410
426	304	409
427	305	407
