iter	Passed	Remaining
0	134	134687
1	135	67633
2	136	45264
3	136	34081
4	137	27321
5	137	22808
6	138	19582
7	138	17163
8	138	15284
9	139	13778
10	139	12547
11	139	11521
12	140	10654
13	140	9912
14	141	9269
15	141	8704
16	141	8206
17	142	7762
18	142	7368
19	143	7012
20	143	6689
21	143	6395
22	144	6128
23	144	5882
24	145	5655
25	145	5446
26	145	5255
27	146	5083
28	146	4920
29	147	4768
30	148	4626
31	148	4494
32	149	4370
33	149	4254
34	150	4143
35	150	4037
36	151	3936
37	151	3843
38	152	3754
39	152	3669
40	153	3588
41	153	3508
42	154	3431
43	154	3358
44	154	3288
45	155	3221
46	155	3157
47	156	3095
48	156	3037
49	156	2980
50	157	2926
51	157	2873
52	157	2822
53	158	2774
54	158	2727
55	159	2682
56	159	2638
57	159	2595
58	160	2557
59	161	2522
60	161	2487
61	162	2453
62	162	2418
63	163	2385
64	163	2352
65	163	2319
66	164	2288
67	164	2258
68	165	2229
69	165	2200
70	166	2172
71	166	2145
72	166	2118
73	167	2092
74	167	2067
75	168	2043
76	168	2018
77	168	1995
78	169	1973
79	169	1951
80	170	1931
81	170	1911
82	171	1889
83	171	1869
84	171	1850
85	172	1830
86	172	1812
87	173	1793
88	173	1776
89	173	1759
90	174	1745
91	175	1728
92	175	1711
93	175	1695
94	176	1679
95	176	1663
96	177	1647
97	177	1632
98	177	1617
99	178	1602
100	178	1589
101	178	1575
102	179	1562
103	179	1548
104	180	1535
105	180	1522
106	180	1510
107	181	1497
108	181	1485
109	182	1473
110	182	1461
111	182	1449
112	183	1437
113	183	1426
114	183	1415
115	184	1404
116	184	1392
117	184	1382
118	185	1372
119	185	1361
120	186	1351
121	186	1341
122	186	1332
123	187	1323
124	187	1314
125	188	1306
126	188	1297
127	189	1288
128	189	1280
129	190	1272
130	190	1264
131	190	1255
132	191	1247
133	191	1239
134	192	1232
135	192	1224
136	193	1216
137	193	1208
138	193	1201
139	194	1193
140	194	1186
141	194	1178
142	195	1171
143	195	1163
144	196	1157
145	196	1150
146	197	1143
147	197	1137
148	198	1131
149	198	1125
150	199	1119
151	199	1113
152	199	1106
153	200	1100
154	200	1094
155	201	1088
156	201	1082
157	202	1076
158	202	1071
159	202	1065
160	203	1059
161	203	1053
162	204	1047
163	204	1042
164	204	1037
165	205	1031
166	205	1026
167	206	1020
168	206	1015
169	206	1010
170	207	1005
171	207	1000
172	208	995
173	208	989
174	208	984
175	209	979
176	209	974
177	210	969
178	210	965
179	210	960
180	211	955
181	211	950
182	211	945
183	212	941
184	212	936
185	212	932
186	213	927
187	213	923
188	214	918
189	214	914
190	214	910
191	215	905
192	215	901
193	216	897
194	216	893
195	216	889
196	217	885
197	217	881
198	218	877
199	218	874
200	218	870
201	219	866
202	219	862
203	220	859
204	220	855
205	221	852
206	221	848
207	221	844
208	222	841
209	222	837
210	223	834
211	223	830
212	223	827
213	224	824
214	224	821
215	225	818
216	225	815
217	226	811
218	226	808
219	227	805
220	227	801
221	227	798
222	228	795
223	228	792
224	229	789
225	229	786
226	230	783
227	230	780
228	230	777
229	231	774
230	231	771
231	232	768
232	232	765
233	233	762
234	233	760
235	234	757
236	234	754
237	234	752
238	235	749
239	235	746
240	236	743
241	236	741
242	237	738
243	237	735
244	237	732
245	238	730
246	238	727
247	239	724
248	239	722
249	239	719
250	240	717
251	240	714
252	241	711
253	241	709
254	241	706
255	242	704
256	242	702
257	243	700
258	243	697
259	244	695
260	244	693
261	245	691
262	245	688
263	246	686
264	246	684
265	247	681
266	247	679
267	247	677
268	248	674
269	248	672
270	249	669
271	249	667
272	249	665
273	250	663
274	250	660
275	251	658
276	251	656
277	251	654
278	252	652
279	252	650
280	253	648
281	253	646
282	254	644
283	254	642
284	255	639
285	255	637
286	255	635
287	256	633
288	256	631
289	257	629
290	257	627
291	257	625
292	258	623
293	258	621
294	259	619
295	259	617
296	260	615
297	260	613
298	261	612
299	261	610
300	262	608
301	262	606
302	262	604
303	263	602
304	263	600
305	264	599
306	264	597
307	265	595
308	265	593
309	265	591
310	266	589
311	266	587
312	267	586
313	267	584
314	268	582
315	268	581
316	268	579
317	269	577
318	269	575
319	270	574
320	270	572
321	271	570
322	271	569
323	271	567
324	272	565
325	272	563
326	273	562
327	273	560
328	274	559
329	274	557
330	274	555
331	275	553
332	275	552
333	276	550
334	276	548
335	276	547
336	277	545
337	277	544
338	278	542
339	278	540
340	279	539
341	279	538
342	280	536
343	280	535
344	281	533
345	281	532
346	281	530
347	282	528
348	282	527
349	283	525
350	283	524
351	283	522
352	284	521
353	284	519
354	285	518
355	285	516
356	285	515
357	286	513
358	286	512
359	287	510
360	287	509
361	288	507
362	288	506
363	289	505
364	289	503
365	290	502
366	290	501
367	291	499
368	291	498
369	291	497
370	292	495
371	292	494
372	293	492
373	293	491
374	293	489
375	294	488
376	294	487
377	295	485
378	295	484
379	296	483
380	296	481
381	296	480
382	297	479
383	297	477
384	298	476
385	298	475
386	299	474
387	299	473
388	300	471
389	300	470
390	301	468
391	301	467
392	301	466
393	302	464
394	302	463
395	302	462
396	303	460
397	303	459
398	304	458
399	304	456
400	304	455
401	305	454
402	305	453
403	306	451
404	306	450
405	307	449
406	307	448
407	308	447
408	308	445
409	309	444
410	309	443
411	309	442
412	310	441
413	310	439
414	311	438
415	311	437
416	311	436
417	312	434
418	312	433
419	312	432
420	313	430
421	313	429
422	314	428
423	314	427
424	314	426
425	315	425
426	315	424
427	316	422
428	316	421
429	317	420
430	317	419
431	318	418
432	318	417
433	319	416
434	319	415
435	320	414
436	320	413
437	321	412
438	321	410
439	322	409
440	322	408
441	322	407
442	323	406
443	323	405
444	324	404
445	324	403
446	324	402
447	325	401
448	325	400
449	326	399
450	326	397
451	327	396
452	327	395
453	328	394
454	328	393
455	328	392
456	329	391
457	329	390
458	330	389
459	330	388
460	330	386
461	331	385
462	331	384
463	332	383
464	332	382
465	333	381
466	333	380
467	334	379
468	334	378
469	335	377
470	335	376
471	335	375
472	336	374
473	336	373
474	336	372
475	337	371
476	337	370
477	338	369
478	338	368
479	338	367
480	339	366
481	339	365
482	340	364
483	340	363
484	341	362
485	341	361
486	341	360
487	342	359
488	342	358
489	343	357
490	343	356
491	344	355
